,title,year,number_of_reviews,rotten_tomatoes_link,wiki_link,number_of_ratings_by_users,number_of_reviews_by_rotten_tomatoes,user_rating,genre,director,producer,writer,runtime_in_minutes,revenue
154,The Age of Shadows,2016,49,https://www.rottentomatoes.com/m/the_age_of_shadows,https://en.m.wikipedia.org/wiki/The_Age_of_Shadows,"1,000+ Ratings",49 Reviews,83%,Action,['Kim Jee-woon'],['Choi Jeong-hwa'],['Kim Jee-woon'],140,55300000.0
178,SPL II: A Time for Consequences,2015,22,https://www.rottentomatoes.com/m/kill_zone_2_2016,https://en.m.wikipedia.org/wiki/SPL_II:_A_Time_for_Consequences,500+ Ratings,22 Reviews,63%,Action,['Pou-Soi Cheang'],"['Yip Wai Shun', 'Paco Wong']","['Lai-yin Leung', 'Ying Wong']",120,90270000.0
320,Dragon Inn,1967,24,https://www.rottentomatoes.com/m/dragon-inn-long-men-ke-zhen,https://en.m.wikipedia.org/wiki/Dragon_Inn,100+ Ratings,24 Reviews,85%,Action,['King Hu'],['L.S. Chang'],['King Hu'],111,16200000.0
104,Penguin Highway (film),2018,24,https://www.rottentomatoes.com/m/penguin_highway,https://en.m.wikipedia.org/wiki/Penguin_Highway_(film),100+ Ratings,24 Reviews,76%,Adventure,['Hiroyasu Ishida'],[],['Makoto Ueda'],118,1315037.0
401,Only Angels Have Wings,1939,29,https://www.rottentomatoes.com/m/only_angels_have_wings,https://en.m.wikipedia.org/wiki/Only_Angels_Have_Wings,"5,000+ Ratings",29 Reviews,82%,Adventure,['Howard Hawks'],['Howard Hawks'],"['Howard Hawks', 'Jules Furthman', 'William Rankin', 'Eleanore Griffin']",121,1000000.0
374,The Treasure of the Sierra Madre (film),1948,53,https://www.rottentomatoes.com/m/treasure_of_the_sierra_madre/,https://en.m.wikipedia.org/wiki/The_Treasure_of_the_Sierra_Madre_(film),"25,000+ Ratings",55 Reviews,93%,Adventure,['John Huston'],['Henry Blanke'],"['B. Traven', 'John Huston']",124,4099999.9999999995
402,The Adventures of Robin Hood,1938,50,https://www.rottentomatoes.com/m/1000355_adventures_of_robin_hood,https://en.m.wikipedia.org/wiki/The_Adventures_of_Robin_Hood,"25,000+ Ratings",50 Reviews,89%,Adventure,"['Michael Curtiz', 'William Keighley']",['Hal B. Wallis'],"['Norman Reilly Raine', 'Seton I. Miller']",102,3981000.0
279,A Grand Day Out,1989,20,https://www.rottentomatoes.com/m/a_grand_day_out_with_wallace_and_gromit,https://en.m.wikipedia.org/wiki/A_Grand_Day_Out,"10,000+ Ratings",20 Reviews,87%,Animation,['Nick Park'],[],['Nick Park'],23,7700000.0
301,The Buddy Holly Story,1978,30,https://www.rottentomatoes.com/m/buddy_holly_story,https://en.m.wikipedia.org/wiki/The_Buddy_Holly_Story,"5,000+ Ratings",30 Reviews,77%,Biography,['Steve Rash'],['Fred Bauer'],[],113,14300000.0
266,Searching for Bobby Fischer,1993,45,https://www.rottentomatoes.com/m/searching_for_bobby_fischer,https://en.m.wikipedia.org/wiki/Searching_for_Bobby_Fischer,"10,000+ Ratings",45 Reviews,86%,Biography,['Steven Zaillian'],"['William Horberg', 'Scott Rudin']",['Steven Zaillian'],110,7266383.0
