,title,revenue,user_rating,votes,year,source,genre,director
86,Chained for Life (2019 film),0.02,54%,Fewer than 50 Ratings,2019,RT,Drama,Aaron Schimberg
158,Off the Rails (2016 film),0.07,85%,100+ Ratings,2016,RT,Documentary,Adam Irving
168,For the Love of Spock,19.34,82%,"1,000+ Ratings",2016,RT,Documentary,Adam Nimoy
282,Vagabond (1985 film),29.94,85%,"1,000+ Ratings",1985,RT,Drama,Agnès Varda
108,John Mulaney: Kid Gorgeous at Radio City,1.56,90%,100+ Ratings,2018,RT,Comedy,Alex Timbers
167,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,19.34,86%,500+ Ratings,2016,RT,Documentary,Alexis Bloom
102,The Silence of Others,1.56,83%,Fewer than 50 Ratings,2018,RT,Documentary,Almudena Carracedo
145,Long Strange Trip,0.01,90%,"1,000+ Ratings",2017,RT,Documentary,Amir Bar-Lev
114,Half the Picture,45.73,70%,50+ Ratings,2018,RT,Documentary,Amy Adrion
244,Deliver Us from Evil (2006 film),0.59,89%,"10,000+ Ratings",2006,RT,Documentary,Amy Berg
39,The Dog Who Wouldn't Be Quiet,0.02,71%,Fewer than 50 Ratings,2021,RT,Drama,Ana Katz
155,One More Time with Feeling,2.16,92%,250+ Ratings,2016,RT,Documentary,Andrew Dominik
10,This Much I Know to Be True,0.45,96%,Fewer than 50 Ratings,2022,RT,Documentary,Andrew Dominik
190,Night Will Fall,1.4,93%,500+ Ratings,2014,RT,Documentary,André Singer
92,Mickey and the Bear,0.07,74%,50+ Ratings,2019,RT,Drama,Annabelle Attanasio
245,Fireworks Wednesday,0.59,83%,"1,000+ Ratings",2006,RT,Drama,Asghar Farhadi
253,Toy Story 2,1169.06,87%,"250,000+ Ratings",1999,RT,Family,Ash Brannon
243,Half Moon (film),0.45,77%,"2,500+ Ratings",2006,RT,Comedy,Bahman Ghobadi
88,Slay the Dragon,0.02,72%,50+ Ratings,2019,RT,Documentary,Barak Goodman
303,"Harlan County, USA",72.03,92%,"2,500+ Ratings",1976,RT,Documentary,Barbara Kopple
396,Pinocchio (1940 film),2850.32,73%,"250,000+ Ratings",1940,RT,Family,Ben Sharpsteen
203,Of Horses and Men,38.09,72%,"1,000+ Ratings",2013,RT,Comedy,Benedikt Erlingsson
162,My Journey Through French Cinema,0.07,60%,250+ Ratings,2016,RT,Documentary,Bertrand Tavernier
16,Gabby Giffords Won't Back Down,0.14,96%,Fewer than 50 Verified Ratings,2022,RT,Documentary,Betsy West
119,Los Reyes,0.39,67%,Fewer than 50 Ratings,2018,RT,Documentary,Bettina Perut
30,Three Minutes: A Lengthening,0.02,79%,Fewer than 50 Ratings,2021,RT,Documentary,Bianca Stigter
147,Dawson City: Frozen Time,0.14,68%,250+ Ratings,2016,RT,Documentary,Bill Morrison
347,Witness for the Prosecution (1957 film),87.16,95%,"5,000+ Ratings",1957,RT,Crime,Billy Wilder
118,Minding the Gap,0.39,91%,500+ Ratings,2018,RT,Documentary,Bing Liu
117,Chris Rock: Tamborine,0.39,39%,250+ Ratings,2018,RT,Comedy,Bo Burnham
64,Athlete A,0.64,92%,100+ Ratings,2020,RT,Documentary,Bonni Cohen
177,Peace Officer (film),20.02,87%,250+ Ratings,2015,RT,Documentary,Brad Barber
99,Emanuel (film),1.51,98%,250+ Verified Ratings,2019,RT,Documentary,Brian Tetsuro Ivie
329,The Endless Summer,142.11,91%,"5,000+ Ratings",1966,RT,Documentary,Bruce Brown
419,"Steamboat Bill, Jr.",14.63,91%,"5,000+ Ratings",1928,RT,Comedy,Buster Keaton
423,The Navigator (1924 film),20.51,89%,"2,500+ Ratings",1924,RT,Comedy,Buster Keaton
185,Democrats (film),0.04,68%,100+ Ratings,2014,RT,Documentary,Camilla Nielsson
130,Summer 1993,2.34,83%,500+ Ratings,2017,RT,Drama,Carla Simón
364,The Lavender Hill Mob,85.71,87%,"5,000+ Ratings",1951,RT,Comedy,Charles Crichton
182,"Christmas, Again",0.04,72%,100+ Ratings,2014,RT,Drama,Charles Poekel
419,"Steamboat Bill, Jr.",14.63,91%,"5,000+ Ratings",1928,RT,Comedy,Charles Reisner
43,Slalom (2020 film),0.64,59%,Fewer than 50 Ratings,2020,RT,Drama,Charlène Favier
66,A Secret Love (film),1.05,90%,100+ Ratings,2020,RT,Documentary,Chris Bolan
88,Slay the Dragon,0.02,72%,50+ Ratings,2019,RT,Documentary,Chris Durrance
220,Everyday Sunshine: The Story of Fishbone,3.32,85%,"1,000+ Ratings",2011,RT,Documentary,Chris Metzler
383,National Velvet (film),88.45,78%,"5,000+ Ratings",1944,RT,Drama,Clarence Brown
284,Shoah (film),0.07,97%,"1,000+ Ratings",1985,RT,Documentary,Claude Lanzmann
63,Mucho Mucho Amor: The Legend of Walter Mercado,0.64,91%,100+ Ratings,2020,RT,Documentary,Cristina Constantini
65,2040 (film),1.05,47%,50+ Ratings,2020,RT,Documentary,Damon Gameau
101,5B (film),1.56,97%,Fewer than 50 Verified Ratings,2018,RT,Documentary,Dan Krauss
214,Hell and Back Again,0.06,69%,"2,500+ Ratings",2011,RT,Documentary,Danfung Dennis
116,Bathtubs Over Broadway,0.39,90%,100+ Ratings,2018,RT,Documentary,Dava Whisenant
206,Sound City (film),0.74,90%,"5,000+ Ratings",2013,RT,Documentary,Dave Grohl
138,Bill Nye: Science Guy,133.99,71%,250+ Ratings,2017,RT,Documentary,David Alvarado
62,Welcome to Chechnya,0.64,86%,50+ Ratings,2020,RT,Documentary,David France
121,Mercury 13 (film),0.39,74%,100+ Ratings,2018,RT,Documentary,David Sington
170,Trapped (2016 American film),19.34,74%,100+ Ratings,2016,RT,Documentary,Dawn Porter
122,Leave No Trace (film),9.15,80%,"5,000+ Ratings",2018,RT,Drama,Debra Granik
186,Stray Dog (2014 film),0.04,64%,250+ Ratings,2014,RT,Documentary,Debra Granik
212,It's Such a Beautiful Day (film),0.36,92%,"1,000+ Ratings",2012,RT,Comedy,Don Hertzfeldt
423,The Navigator (1924 film),20.51,89%,"2,500+ Ratings",1924,RT,Comedy,Donald Crisp
