,title,revenue,user_rating,votes,year,source,genre,director,runtime_in_minutes
140,The Departure (2017 film),0.05,100,100+ Ratings,2017,RT,Documentary,['Lana Wilson'],87
112,The Woman Who Loves Giraffes (page does not exist),0.04,100,Fewer than 50 Verified Ratings,2018,RT,Documentary,['Alison Reid'],83
20,Brother's Keeper (2022 film) (page does not exist),133.9,100,Fewer than 50 Ratings,2021,RT,Drama,['Ferit Karahan'],85
76,Diana Kennedy: Nothing Fancy (page does not exist),0.01,100,Fewer than 50 Ratings,2019,RT,Documentary,['Elizabeth Carroll'],73
146,"Sammy Davis, Jr.: I've Gotta Be Me (page does not exist)",2.7,100,Fewer than 50 Ratings,2017,RT,Documentary,['Samuel D. Pollard'],100
74,Everybody's Everything (film),0.01,99,100+ Verified Ratings,2019,RT,Documentary,"['Sebastian Jones', 'Ramez Silyan']",116
169,O.J.: Made in America,0.32,98,"1,000+ Ratings",2016,RT,Biography,['Ezra Edelman'],467
99,Emanuel (film),17.44,98,250+ Verified Ratings,2019,RT,Documentary,['Brian Tetsuro Ivie'],80
101,5B (film),18.05,97,Fewer than 50 Verified Ratings,2018,RT,Documentary,"['Dan Krauss', 'Paul Haggis']",95
348,12 Angry Men (1957 film),6.59,97,"100,000+ Ratings",1957,RT,Drama,['Sidney Lumet'],95
290,Stop Making Sense,,97,"5,000+ Ratings",1984,RT,Documentary,['Jonathan Demme'],88
14,Stutz (film),1.73,97,"1,000+ Ratings",2022,RT,Documentary,['Jonah Hill'],96
315,The Sorrow and the Pity,,97,"1,000+ Ratings",1969,RT,Documentary,['Marcel Ophüls'],259
354,Seven Samurai,,97,"50,000+ Ratings",1954,RT,Action,['Akira Kurosawa'],208
284,Shoah (film),,97,"1,000+ Ratings",1985,RT,Documentary,['Claude Lanzmann'],561
75,Inmate 1: The Rise of Danny Trejo (page does not exist),0.01,96,Fewer than 50 Ratings,2019,RT,Documentary,['Brett Harvey'],110
10,This Much I Know to Be True,0.03,96,Fewer than 50 Ratings,2022,RT,Documentary,['Andrew Dominik'],105
16,Gabby Giffords Won't Back Down,1.14,96,Fewer than 50 Verified Ratings,2022,RT,Documentary,"['Julie Cohen', 'Betsy West']",97
308,Winter Soldier (film),,96,250+ Ratings,1972,RT,Documentary,[],95
87,Rewind (2019 film),1.95,96,50+ Ratings,2019,RT,Documentary,['Sasha Neulinger'],86
60,Suzi Q (film) (page does not exist),,95,Fewer than 50 Ratings,2020,RT,Documentary,['Liam Firmager'],98
347,Witness for the Prosecution (1957 film),6.59,95,"5,000+ Ratings",1957,RT,Crime,['Billy Wilder'],114
327,How the Grinch Stole Christmas! (TV special),28.29,95,100+ Ratings,1966,RT,Holiday,['Chuck Jones'],25
261,La haine,,95,"25,000+ Ratings",1995,RT,Drama,['Mathieu Kassovitz'],98
332,Sanjuro,,95,"10,000+ Ratings",1962,RT,Adventure,['Akira Kurosawa'],96
319,Cool Hand Luke,,95,"50,000+ Ratings",1967,RT,Drama,['Stuart Rosenberg'],129
280,Grave of the Fireflies,,95,"50,000+ Ratings",1988,RT,Drama,['Isao Takahata'],88
358,The Wages of Fear,,95,"5,000+ Ratings",1953,RT,Mystery &amp; thriller,['Henri-Georges Clouzot'],156
363,Singin' in the Rain,82.81,95,"100,000+ Ratings",1952,RT,Musical,"['Stanley Donen', 'Gene Kelly']",102
349,Night and Fog (1956 film),6.82,95,"5,000+ Ratings",1956,RT,Documentary,['Alain Resnais'],32
416,M (1931 film),13.19,95,"25,000+ Ratings",1931,RT,Mystery &amp; thriller,['Fritz Lang'],99
273,A Brighter Summer Day,,94,"1,000+ Ratings",1991,RT,Drama,['Edward Yang'],240
265,Three Colours: Red,,94,"25,000+ Ratings",1994,RT,Drama,['Krzysztof Kieslowski'],99
361,Ugetsu,,94,"5,000+ Ratings",1953,RT,Fantasy,['Kenji Mizoguchi'],96
321,Le Samouraï,22.66,94,"10,000+ Ratings",1967,RT,Crime,['Jean-Pierre Melville'],92
221,Temple Grandin (film),10.48,94,"5,000+ Ratings",2010,RT,Drama,['Mick Jackson'],110
91,Mystify: Michael Hutchence,0.06,94,100+ Ratings,2019,RT,Documentary,['Richard Lowenstein'],108
272,Hearts of Darkness: A Filmmaker's Apocalypse,,94,"5,000+ Ratings",1991,RT,Documentary,"['Fax Bahr', 'Eleanor Coppola', 'George Hickenlooper']",96
294,Fanny and Alexander,,94,"10,000+ Ratings",1982,RT,Drama,['Ingmar Bergman'],188
346,Nights of Cabiria,,94,"5,000+ Ratings",1957,RT,Drama,['Federico Fellini'],110
