"Title","Gross Domestic Product at market prices: CP: NSA £m"
"CDID","BKTL"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","15-02-2024"
"Next release","28 March 2024"
"Important notes","Following a quality review it has been identified that the methodology used to estimate elements of purchased software within gross fixed capital formation (GFCF) has led to some double counting from 1997 onwards. When this issue is amended in The Blue Book 2017 it will reduce the level of GFCF across the period by around 1.1% per year. The average impact on quarter-on-quarter GFCF growth is negative 0.02% and the average impact on quarter-on-quarter GDP growth is 0.00%."
"1948","11429"
"1949","12172"
"1950","12742"
"1951","14305"
"1952","15536"
"1953","16682"
"1954","17597"
"1955","19169"
"1956","20844"
"1957","22104"
"1958","23220"
"1959","24388"
"1960","26201"
"1961","27918"
"1962","29235"
"1963","31099"
"1964","34047"
"1965","36828"
"1966","39394"
"1967","41673"
"1968","45795"
"1969","49761"
"1970","56041"
"1971","62870"
"1972","70578"
"1973","81793"
"1974","92673"
"1975","115093"
"1976","136999"
"1977","159786"
"1978","186158"
"1979","220981"
"1980","259970"
"1981","290180"
"1982","319558"
"1983","351347"
"1984","377920"
"1985","414630"
"1986","446600"
"1987","496809"
"1988","555683"
"1989","614631"
"1990","670797"
"1991","705884"
"1992","730874"
"1993","769855"
"1994","810794"
"1995","851845"
"1996","909993"
"1997","953405"
"1998","998501"
"1999","1043248"
"2000","1100752"
"2001","1146135"
"2002","1191439"
"2003","1258334"
"2004","1322637"
"2005","1398749"
"2006","1472038"
"2007","1544637"
"2008","1593600"
"2009","1548802"
"2010","1608553"
"2011","1662590"
"2012","1713715"
"2013","1781361"
"2014","1862514"
"2015","1916451"
"2016","1991645"
"2017","2082482"
"2018","2152304"
"2019","2233921"
"2020","2104288"
"2021","2284079"
"2022","2505981"
"2023","2689974"
"1955 Q1","4577"
"1955 Q2","4643"
"1955 Q3","4868"
"1955 Q4","5081"
"1956 Q1","4982"
"1956 Q2","5162"
"1956 Q3","5195"
"1956 Q4","5505"
"1957 Q1","5300"
"1957 Q2","5475"
"1957 Q3","5530"
"1957 Q4","5799"
"1958 Q1","5705"
"1958 Q2","5722"
"1958 Q3","5778"
"1958 Q4","6015"
"1959 Q1","5820"
"1959 Q2","6057"
"1959 Q3","6065"
"1959 Q4","6446"
"1960 Q1","6305"
"1960 Q2","6502"
"1960 Q3","6536"
"1960 Q4","6858"
"1961 Q1","6743"
"1961 Q2","6915"
"1961 Q3","7067"
"1961 Q4","7193"
"1962 Q1","6966"
"1962 Q2","7344"
"1962 Q3","7340"
"1962 Q4","7585"
"1963 Q1","7181"
"1963 Q2","7800"
"1963 Q3","7817"
"1963 Q4","8301"
"1964 Q1","8003"
"1964 Q2","8491"
"1964 Q3","8546"
"1964 Q4","9007"
"1965 Q1","8811"
"1965 Q2","9114"
"1965 Q3","9230"
"1965 Q4","9673"
"1966 Q1","9444"
"1966 Q2","9758"
"1966 Q3","9879"
"1966 Q4","10313"
"1967 Q1","9999"
"1967 Q2","10410"
"1967 Q3","10424"
"1967 Q4","10840"
"1968 Q1","10830"
"1968 Q2","11169"
"1968 Q3","11548"
"1968 Q4","12248"
"1969 Q1","11798"
"1969 Q2","12183"
"1969 Q3","12466"
"1969 Q4","13314"
"1970 Q1","12880"
"1970 Q2","13709"
"1970 Q3","14190"
"1970 Q4","15262"
"1971 Q1","14562"
"1971 Q2","15382"
"1971 Q3","15955"
"1971 Q4","16971"
"1972 Q1","16267"
"1972 Q2","17228"
"1972 Q3","17663"
"1972 Q4","19420"
"1973 Q1","19614"
"1973 Q2","19547"
"1973 Q3","20637"
"1973 Q4","21995"
"1974 Q1","20676"
"1974 Q2","22206"
"1974 Q3","23950"
"1974 Q4","25841"
"1975 Q1","26185"
"1975 Q2","27722"
"1975 Q3","29364"
"1975 Q4","31822"
"1976 Q1","31936"
"1976 Q2","32780"
"1976 Q3","34622"
"1976 Q4","37661"
"1977 Q1","37014"
"1977 Q2","38806"
"1977 Q3","40525"
"1977 Q4","43441"
"1978 Q1","43328"
"1978 Q2","45272"
"1978 Q3","47333"
"1978 Q4","50225"
"1979 Q1","49528"
