"AGENCY","YEAR","ORI","STATE","COUNTY","POP","COMPSTAT","COMPSTATDATE","HASCOMPSTAT","YEAR.UNFOUNDED.MURDER","YEAR.UNFOUNDED.RAPE.TOT","YEAR.UNFOUND.AUTO.THFT","YEAR.ACT.NUM.MURDER","YEAR.ACT.NUM.RAPE.TOT","YEAR.ACT.NUM.ASSAULT.TOT","YEAR.ACT.VHC.THFT.TOT","YEAR.ACT.ALL.FIELDS","YEAR.TOT.CLR.MURDER","YEAR.TOT.CLR.RAPE.TOT","YEAR.TOT.CLR.ASSAULT.TOT","YEAR.TOT.CLR.VHC.THFT.TOT","YEAR.TOT.CLR.ALL.FIELDS","SHAREPT2","clearrate","unfoundrapepct","murderclearrate","rapeclearrate","assaultclearrate","unfoundmurderpct","unfoundassaultpct","PART1arrests","PART2arrests","popblackpct","popwhitepct","unfoundautopct","yearssincecompstat","FIPS_PLACE_ID","cdcHomicide","cdcSuicide","cdcUndetermined","cdcUnintentional","haselection","years_since_election","partisantotal","incidentsperpop","autoclearrate","YEAR.ACT.NUM.KILLINGS"
"MESA",1992,"AZ00717","Arizona",7,301200,1,2007,0,2,4,51,9,119,4746,2509,24278,7,45,3193,266,6457,0.652202570581127,0.265960952302496,0.032520325203252,0.636363636363636,0.378151260504202,0.672777075431943,0.181818181818182,0.00669736291335287,6332,11874,0.0381037955946144,0.920882062781453,0.025631067961165,-15,446000,209,329,15,742,1,0,0,0.0812284196547145,0.106018333997609,9
"PHOENIX",1992,"AZ00723","Arizona",7,999900,1,2012,0,15,132,491,136,476,21695,14983,106759,91,201,12274,1521,27439,0.625744141066539,0.257018143669386,0.217105263157895,0.602649006622517,0.422268907563025,0.565752477529385,0.0993377483443709,0.0607005238775599,29799,49823,0.0381037955946144,0.920882062781453,0.0431089538893856,-20,455000,209,329,15,742,0,1,0,0.11001700170017,0.101515050390443,142
"TUCSON",1992,"AZ01003","Arizona",10,423836,1,2002,0,5,31,36,42,386,11553,4362,52757,32,85,5952,539,12734,0.719050856378429,0.241370813351783,0.0743405275779376,0.680851063829787,0.22020725388601,0.515190859517009,0.106382978723404,0.00302036589575423,12811,32788,0.0342276293491823,0.908637985592136,0.010660013608528,-10,477000,58,129,11,284,0,1,1,0.124864334317991,0.123567171022467,42
"OAKLAND",1992,"CA00109","California",1,386086,1,2007,0,5,55,155,165,418,11962,7766,55105,108,191,5121,1214,10525,0.807592190889371,0.190999001905453,0.116279069767442,0.635294117647059,0.456937799043062,0.428105667948504,0.0294117647058824,0.0359445519019987,10644,44676,0.184495213960583,0.634823541068662,0.0251067034898318,-15,653000,215,140,15,341,0,2,0,0.145066125163824,0.156322431109967,169
"FRESNO",1992,"CA01005","California",10,367376,1,2006,0,2,15,279,81,203,6958,13011,49473,56,149,5389,1111,12887,0.689634252036748,0.2604855173529,0.0688073394495413,0.674698795180723,0.733990147783251,0.774504167864329,0.0240963855421687,0.00129180421989378,10743,23871,0.0549740025877738,0.837379956438671,0.0261956440386199,-14,627000,122,77,NA,340,0,3,0,0.135841753407953,0.0853892859887787,83
"BAKERSFIELD",1992,"CA01502","California",15,181321,1,2011,0,0,0,71,16,51,1234,1264,14640,12,40,988,260,4929,0.752858928654104,0.336680327868852,0,0.75,0.784313725490196,0.80064829821718,0,0.00724054706355591,5338,16261,0.0627143382658329,0.880468963225783,0.0664697193500739,-19,603526,55,70,NA,246,1,0,0,0.0815845930697492,0.205696202531646,16
"LONG BEACH",1992,"CA01941","California",19,445405,1,2003,0,6,9,13,104,218,7223,6318,39540,62,146,5103,734,10929,0.815084202913524,0.276403641881639,0.039647577092511,0.563636363636364,0.669724770642202,0.706493146891873,0.0545454545454545,0.00289895085588073,8949,39446,0.11600373433646,0.758094816984826,0.00252604988948532,-11,643000,2057,964,45,2420,0,2,0,0.0889796926392833,0.116176005064894,104
"LOS ANGELES",1992,"CA01942","California",19,3615355,1,2002,0,59,158,644,1094,1872,78579,67981,370674,640,1046,52881,6414,99564,0.689443303096892,0.268602599588857,0.0778325123152709,0.555073720728534,0.558760683760684,0.672966059634253,0.0511708586296618,0.00619711897203708,65152,144639,0.11600373433646,0.758094816984826,0.011659857813704,-10,644000,2057,964,45,2420,0,3,0,0.10323467543298,0.0943498918815551,1103
"SANTA ANA",1992,"CA03019","California",30,304666,1,2002,0,4,20,91,58,72,2475,4201,22437,18,48,1602,648,4729,0.81700358296103,0.210767927976111,0.217391304347826,0.290322580645161,0.666666666666667,0.647272727272727,0.0645161290322581,0.00960384153661465,4137,18470,0.0191981302467667,0.857973964102724,0.0257421150278293,-10,669000,187,273,14,600,1,0,0,0.0743634012328254,0.15424898833611,58
"RIVERSIDE",1992,"CA03313","California",33,234929,1,2002,0,3,7,71,23,130,6777,3503,24699,11,57,4133,283,7498,0.734104632871568,0.303575043524029,0.0510948905109489,0.423076923076923,0.438461538461538,0.609856868821012,0.115384615384615,0.00557593543653705,5240,14467,0.0601664847585909,0.886745120354736,0.0226004464285714,-10,662000,139,189,NA,446,0,3,0,0.105810691740909,0.0807878960890665,24
"SACRAMENTO",1992,"CA03404","California",34,383102,1,2010,0,6,2,231,45,237,6519,8179,42823,36,134,3464,996,9683,0.696264081423092,0.22611680638909,0.00836820083682008,0.705882352941177,0.565400843881857,0.531369842000307,0.117647058823529,0.00458085203847916,10057,23054,0.102945726480866,0.776781216256822,0.0327578051087985,-18,664000,106,140,27,304,1,0,0,0.113089986478797,0.121775278151363,45
"SAN FRANCISCO",1992,"CA03801","California",38,750885,1,2009,0,1,3,236,117,395,12319,12669,83984,48,225,3917,802,12980,0.792671782300294,0.15455324823776,0.00753768844221105,0.406779661016949,0.569620253164557,0.317964120464323,0.00847457627118644,0.00355900671358085,14293,54646,0.104246925609061,0.583431424446256,0.0232827075784442,-17,667000,107,144,27,288,0,3,0,0.112741631541448,0.0633041281869129,117
"SAN JOSE",1992,"CA04313","California",43,811342,1,2004,0,1,12,243,43,448,12342,3793,48439,27,286,6315,358,12854,0.77465004337251,0.265364685480708,0.0260869565217391,0.613636363636364,0.638392857142857,0.511667476908119,0.0227272727272727,0.00923175724492253,13249,45544,0.0376059315118749,0.753574352138475,0.0760048721071864,-12,668000,84,117,NA,331,0,2,0,0.060324745914793,0.0943843923016082,43
"DENVER",1992,"CODPD00","Colorado",16,492672,1,2006,0,3,49,281,95,437,5487,8084,42696,36,226,2943,1322,7613,0.692682659656041,0.17830710136781,0.10082304526749,0.36734693877551,0.517162471395881,0.536358665937671,0.0306122448979592,0.0332980972515856,16833,37941,0.131259350790161,0.827347818098486,0.0410438908659549,-14,820000,75,98,NA,211,0,1,0,0.0895139159521954,0.163532904502721,95
