index,Institution,,stateab,control,region,hbcu,ugds_women,ugds_black,npt4,tuitionfee_in,tuitionfee_out,avgfacsal,pftfac
1,Alabama A & M University,,AL,1,5,1,0.5924,0.912,14444,9744,18354,7101,0.7411
2,University of Alabama at Birmingham,,AL,1,5,0,0.607,0.2553,17005,8568,19704,10717,0.7766
3,Amridge University,,AL,2,5,0,0.6809,0.7151,15322,6900,6900,4292,1
4,University of Alabama in Huntsville,,AL,1,5,0,0.4204,0.0969,20909,10714,22362,9442,0.6544
5,Alabama State University,,AL,1,5,1,0.629,0.9352,13043,11068,19396,7754,0.5826
6,The University of Alabama,,AL,1,5,0,0.5557,0.0999,22232,10780,29230,10225,0.7454
7,Auburn University at Montgomery,,AL,1,5,0,0.652,0.4131,12680,8404,17812,7678,0.9655
8,Auburn University,,AL,1,5,0,0.4885,0.055,23696,11276,30524,10428,0.8553
9,Birmingham-Southern College,,AL,2,5,0,0.5209,0.1391,25494,17650,17650,7688,0.6667
10,Faulkner University,,AL,2,5,0,0.5955,0.481,25557,21690,21690,5743,0.4534
11,Huntingdon College,,AL,2,5,0,0.4944,0.2171,20136,27400,27400,6810,0.5714
12,Jacksonville State University,,AL,1,5,0,0.579,0.1866,16962,8760,16536,7122,0.675
13,Judson College,,AL,2,5,0,0.9923,0.2008,16619,18510,18510,6076,0.3678
14,University of West Alabama,,AL,1,5,0,0.5827,0.4312,13975,10040,18490,6461,0.4906
15,Miles College,,AL,2,5,1,0.5246,0.9483,15248,12132,12132,4615,0.7094
16,University of Mobile,,AL,2,5,0,0.6399,0.2519,14611,23230,23230,4863,1
17,University of Montevallo,,AL,1,5,0,0.6681,0.1666,16391,12760,25780,7710,0.6667
18,University of North Alabama,,AL,1,5,0,0.6018,0.1441,12557,10142,18452,7898,1
19,Oakwood University,,AL,2,5,1,0.573,0.8279,26293,19732,19732,4970,0.7386
20,Samford University,,AL,2,5,0,0.6671,0.0638,29207,31650,31650,8888,0.9848
21,University of South Alabama,,AL,1,5,0,0.5902,0.2298,14871,8396,16292,7239,0.6146
22,Spring Hill College,,AL,2,5,0,0.6134,0.1558,19718,39464,39464,6672,0.6667
23,Stillman College,,AL,2,5,1,0.5399,0.8462,13857,11092,11092,5094,0.6949
24,Talladega College,,AL,2,5,1,0.4942,0.851,16386,13571,13571,5861,0.5789
25,Troy University,,AL,1,5,0,0.6163,0.3122,13313,8908,16708,6639,0.533
26,Tuskegee University,,AL,2,5,1,0.6362,0.8454,35353,22170,22170,4810,1
27,University of Alaska Anchorage,,AK,1,8,0,0.581,0.0342,13819,8580,24762,9128,0.484
28,University of Alaska Fairbanks,,AK,1,8,0,0.565,0.0326,11297,6657,20218,9584,0.6066
29,Alaska Pacific University,,AK,2,8,0,0.6714,0.0177,20717,20760,20760,5467,0.5692
30,Arizona State University-Tempe,,AZ,1,6,0,0.441,0.0372,11644,10822,28336,11451,0.7766
31,University of Arizona,,AZ,1,6,0,0.5264,0.0394,14553,12467,36366,11147,0.7625
32,Northern Arizona University,,AZ,1,6,0,0.6129,0.0331,14326,11564,25828,8207,0.6573
33,Prescott College,,AZ,2,6,0,0.6497,0.0279,20674,31485,31485,5286,0.6935
34,Arizona Christian University,,AZ,2,6,0,0.4326,0.1277,20765,26796,26796,4607,0.2577
35,University of Arkansas at Little Rock,,AR,1,5,0,0.6193,0.2818,12102,9544,21754,7623,0.9709
36,Lyon College,,AR,2,5,0,0.4336,0.0931,17032,28790,28790,6655,1
37,University of Arkansas,,AR,1,5,0,0.5351,0.0413,15642,9130,25168,9866,0.8632
38,University of Arkansas at Pine Bluff,,AR,1,5,1,0.5869,0.9092,10684,8038,14398,5894,0.8069
39,Arkansas State University-Main Campus,,AR,1,5,0,0.5997,0.1309,13605,8607,15297,6902,0.7609
40,Arkansas Tech University,,AR,1,5,0,0.5481,0.0742,12362,7254,12678,6833,1
41,University of Central Arkansas,,AR,1,5,0,0.6042,0.1695,14723,8752,15275,7040,0.7806
42,Central Baptist College,,AR,2,5,0,0.46,0.187,14485,16200,16200,5448,0.2692
43,Crowley's Ridge College,,AR,2,5,0,0.4888,0.0955,13334,13600,13600,4175,0.5
44,Harding University,,AR,2,5,0,0.5383,0.0443,19563,19845,19845,7473,0.8054
45,Henderson State University,,AR,1,5,0,0.5658,0.2076,16583,8530,10180,6703,0.9951
46,Hendrix College,,AR,2,5,0,0.5193,0.0763,21215,45790,45790,7708,1
47,John Brown University,,AR,2,5,0,0.5854,0.0254,22210,26928,26928,7049,0.9848
48,Ouachita Baptist University,,AR,2,5,0,0.5511,0.0796,18881,26790,26790,6418,1
49,University of the Ozarks,,AR,2,5,0,0.507,0.0812,16089,24230,24230,6740,0.7647
50,Philander Smith College,,AR,2,5,1,0.663,0.935,14249,13014,13014,6045,1
51,Williams Baptist University,,AR,2,5,0,0.4283,0.1283,18001,17320,17320,5355,0.9615
52,Southern Arkansas University Main Campus,,AR,1,5,0,0.5489,0.2557,13602,8756,12866,6861,0.6629
53,University of Arkansas-Fort Smith,,AR,1,5,0,0.582,0.0411,10397,5593,12666,6921,0.6499
54,Azusa Pacific University,,CA,2,8,0,0.6541,0.0611,25451,38880,38880,9160,0.4042
55,Biola University,,CA,2,8,0,0.6317,0.0255,31345,40488,40488,9348,1
56,California Baptist University,,CA,2,8,0,0.6225,0.0681,23365,33478,33478,9674,0.3274
57,California Institute of Technology,,CA,2,8,0,0.4536,0.0148,23820,52362,52362,19993,0.9195
58,California Lutheran University,,CA,2,8,0,0.5668,0.0432,27220,42692,42692,9974,1
59,California Polytechnic State University-San Luis Obispo,,CA,1,8,0,0.4835,0.0079,20592,9816,21696,10335,0.6835
60,California State University-Bakersfield,,CA,1,8,0,0.6145,0.0531,5687,7309,19189,9585,0.5124
61,California State University-Stanislaus,,CA,1,8,0,0.6597,0.0223,6174,7072,18952,9475,0.5097
62,California State University-San Bernardino,,CA,1,8,0,0.6058,0.0476,8209,6922,18802,9779,0.4812
63,California State Polytechnic University-Pomona,,CA,1,8,0,0.4654,0.0344,12842,7353,19233,10587,0.4729
64,California State University-Chico,,CA,1,8,0,0.5296,0.027,14453,7608,19488,9723,0.5577
65,California State University-Dominguez Hills,,CA,1,8,0,0.6292,0.1133,3891,6942,18822,9752,0.405
66,California State University-Fresno,,CA,1,8,0,0.589,0.0266,6452,6587,18467,9393,0.5432
67,California State University-Fullerton,,CA,1,8,0,0.5632,0.0183,8234,6886,18766,10201,0.4861
68,California State University-East Bay,,CA,1,8,0,0.6083,0.0999,11435,6983,18863,10210,0.4603
69,California State University-Long Beach,,CA,1,8,0,0.5661,0.0366,8982,6798,18678,10192,0.4856
70,California State University-Los Angeles,,CA,1,8,0,0.5753,0.0334,4175,6749,18629,9827,0.4134
71,California State University-Northridge,,CA,1,8,0,0.5401,0.0471,8243,6893,18773,10090,0.4546
72,California State University-Sacramento,,CA,1,8,0,0.554,0.0597,9722,7310,19190,9804,0.4779
73,University of California-Berkeley,,CA,1,8,0,0.5261,0.0184,14846,14184,43176,17125,0.6663
74,University of California-Davis,,CA,1,8,0,0.6037,0.022,14729,14402,43394,14603,0.866
75,University of California-Irvine,,CA,1,8,0,0.5139,0.0206,14604,13700,42692,15447,0.8146
76,University of California-Los Angeles,,CA,1,8,0,0.5783,0.0342,14171,13226,42218,18392,0.6973
77,University of California-Riverside,,CA,1,8,0,0.5401,0.0391,12743,13827,42819,13408,0.8655
78,University of California-San Diego,,CA,1,8,0,0.4982,0.0161,13318,14167,43159,16373,0.8483
79,University of California-Santa Barbara,,CA,1,8,0,0.5441,0.0207,16236,14391,43383,15994,0.8502
80,University of California-Santa Cruz,,CA,1,8,0,0.484,0.019,17699,13960,42952,14426,0.767
81,California State University Maritime Academy,,CA,1,8,0,0.1663,0.0246,22070,7056,18936,9824,0.7391
82,Chapman University,,CA,2,8,0,0.6089,0.0174,40251,52724,52724,11826,1
83,Concordia University-Irvine,,CA,2,8,0,0.62,0.0482,27220,35400,35400,7215,0.9384
84,San Diego Christian College,,CA,2,8,0,0.4821,0.1004,34499,31404,31404,6748,0.1118
85,Claremont McKenna College,,CA,2,8,0,0.478,0.0417,23889,54405,54405,14628,0.9243
86,Dominican University of California,,CA,2,8,0,0.7563,0.0427,34215,45850,45850,8662,0.3285
87,Fresno Pacific University,,CA,2,8,0,0.7282,0.054,20706,32458,32458,7166,0.906
88,Harvey Mudd College,,CA,2,8,0,0.4898,0.035,32739,56620,56620,13671,0.8594
89,Holy Names University,,CA,2,8,0,0.6534,0.1805,23175,39316,39316,8046,0.2885
90,Humboldt State University,,CA,1,8,0,0.5677,0.037,14897,7675,19555,9602,0.5451
91,Humphreys University-Stockton and Modesto Campuses,,CA,2,8,0,0.6825,0.0921,7139,14292,14292,6775,0.2198
92,American Jewish University,,CA,2,8,0,0.6418,0,38997,31946,31946,7904,1
93,Life Pacific University,,CA,2,8,0,0.5278,0.0476,20060,15654,15654,6300,0.3
94,University of La Verne,,CA,2,8,0,0.5879,0.0549,24750,43050,43050,9264,0.357
95,La Sierra University,,CA,2,8,0,0.6032,0.0714,21442,32778,32778,8000,0.2997
96,The Master's University and Seminary,,CA,2,8,0,0.4684,0.0329,26645,25390,25390,8258,0.2464
97,Loyola Marymount University,,CA,2,8,0,0.5564,0.0705,39898,48522,48522,11733,0.5547
98,Mills College,,CA,2,8,0,0.996,0.1057,22774,30257,30257,10308,0.4611
99,Mount Saint Mary's University,,CA,2,8,0,0.9404,0.0647,29267,41170,41170,8998,0.2916
100,Notre Dame de Namur University,,CA,2,8,0,0.6636,0.0494,25610,35350,35350,9117,0.2228
101,Occidental College,,CA,2,8,0,0.577,0.0518,31842,54686,54686,11293,0.7649
102,Hope International University,,CA,2,8,0,0.572,0.0781,22440,33400,33400,4582,0.2394
103,Pacific Union College,,CA,2,8,0,0.6118,0.0732,21968,30060,30060,6285,0.9348
104,University of the Pacific,,CA,2,8,0,0.5252,0.0322,25973,48164,48164,10587,0.4884
105,Pepperdine University,,CA,2,8,0,0.5922,0.0484,34701,53932,53932,12387,0.6016
106,Pitzer College,,CA,2,8,0,0.5597,0.0578,31590,54056,54056,11104,0.872
