y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
28.4,10.4,82.4,2.63521,0.31635,6,3,0,0,24,22,30,24,0,1,2,1,0,1,2,2,0,1,3,0,4,0,18.23
27.37,0,79.5,0.49835,1.91411,87,91,38,36,47,45,68,68,0,0,0,0,4,0,0,0,0,2,0,0,1,2,23.55
13.11,84.9,100.7,0.24209,1.85066,8,7,3,0,7,0,3,0,2,1,2,0,2,0,89,60,3,0,88,80,1,0,11.04
18.59,16.6,101.8,2.63826,0.5215,16,12,2,2,7,16,38,40,96,96,53,71,48,48,1,5,0,0,0,2,3,5,21.73
26.44,16.8,99.3,0.53835,4.35443,71,74,17,20,20,21,52,49,73,82,44,44,24,32,2,0,0,3,3,5,73,77,25.75
11.13,62,98.1,0.69563,0.33602,10,10,3,5,1,7,3,3,1,4,0,0,0,4,99,85,0,2,79,84,2,0,8.79
22.84,58.1,101,0.20392,0.01921,3,0,0,0,0,1,1,0,93,91,45,67,25,37,3,4,0,0,28,20,95,100,30.52
11.41,17.9,102,0.37288,0.53863,4,1,15,1,1,4,3,6,0,2,0,1,4,0,72,47,3,0,58,42,3,0,14.73
14.04,51.4,108.2,0.56902,0.29445,0,0,6,5,0,4,22,22,2,1,4,0,0,0,4,2,0,0,81,80,2,4,14.5
14.2,92.2,105.6,0.55982,0.64951,0,0,0,1,8,6,2,0,1,0,0,0,2,4,99,84,0,0,77,84,0,0,7.27
11.91,0,110.6,0.26245,0.48664,2,0,5,5,3,0,1,5,4,0,0,0,5,5,0,5,1,0,5,3,0,0,4.2
20.78,0,115.6,0.55016,0.40509,62,70,10,20,48,52,74,72,47,47,16,25,15,16,1,0,2,0,3,4,2,2,28.28
12.96,69.6,85.3,0.05449,0.59383,20,20,13,16,12,13,13,10,0,2,0,0,0,0,0,0,98,77,56,62,3,1,0
27.13,51.1,112.8,0.57964,0.69285,6,3,3,6,0,0,18,9,96,97,64,76,47,34,81,74,63,71,63,48,98,100,5.5
12.2,93.3,110.3,0.6503,0.3938,1,0,0,6,4,5,0,1,1,0,4,2,0,0,99,86,4,0,77,89,0,1,6.62
12.39,16.1,96.6,0.25897,0.58723,11,6,4,0,0,2,25,12,0,1,0,0,0,6,0,0,0,0,0,1,100,99,16.07
24.91,90.4,103.3,0.45297,1.84706,13,8,2,6,7,0,4,7,1,0,4,1,3,5,0,1,0,6,86,79,0,0,15.71
16.77,64.7,92.1,0.67676,1.01884,2,1,0,2,0,4,18,24,97,100,84,89,60,73,0,1,1,0,43,47,100,100,3.08
6.69,0,0,0.25744,0.77922,15,1,0,3,0,6,0,2,0,0,0,0,2,0,0,0,5,0,0,1,2,5,0
16.44,8.1,116.9,0.26556,2.20184,3,1,0,2,9,9,39,33,98,100,66,77,45,56,1,4,1,1,0,0,100,100,31.72
20.56,45.2,96.6,0.21787,1.02046,12,3,0,0,8,4,24,16,98,93,89,90,83,79,73,62,42,51,48,31,0,1,21.82
15.41,92.6,110.1,0.37457,1.26105,9,11,3,4,11,4,7,7,95,98,92,93,85,91,93,93,70,78,70,29,3,0,23.24
31.72,28.2,111.9,2.75947,0.31765,18,18,6,0,9,12,40,35,95,97,55,66,55,52,0,4,0,0,1,0,3,2,22.51
30.42,11.4,87,1.1328,0.25571,84,87,16,37,61,70,71,82,31,29,17,7,15,11,21,51,3,3,0,0,0,0,39.45
35,53.2,86.3,0.72031,0.5166,52,48,13,14,13,9,13,5,97,99,95,96,66,82,0,0,7,55,1,52,5,0,15.57
19.16,33.4,105.7,0.31507,1.87986,2,0,1,0,12,13,32,25,97,97,84,89,62,61,82,81,59,68,52,43,100,98,17.08
24.87,64.6,96.8,0.53722,0.93002,1,0,8,6,0,1,7,7,100,99,97,98,79,86,87,47,3,0,32,40,0,1,9.71
35,57.3,85,1.33405,1.55044,54,54,9,16,11,11,17,6,95,100,95,99,72,80,3,0,4,55,3,52,0,0,11.9
23.67,0,63.4,0.18191,0.50212,73,74,44,51,30,44,47,49,1,0,0,3,2,3,1,1,1,5,2,0,96,93,33.66
34.35,39.1,80.8,0.23443,0.39647,56,54,18,21,33,29,46,43,96,100,86,91,47,64,0,5,0,0,59,41,98,100,15.93
